emp_id,employee_name,dept_id,salary_inr,hire_date,city,status,gender
E001, Aarav Sharma,D01,85000.0,2018-03-15,Bengaluru,Active,Male
E002,Meera Nair,D02,72000.0,2019-07-22,Mumbai,Active,Female
E003,RAVI VERMA,D03,90000.0,2017-11-01,Delhi,Active,Male
E004,Sonal Gupta,D04,68000.0,2020-01-10,Hyderabad,Inactive,Female
E005,  deepak joshi  ,D05,,2021-05-30,Pune,Active,Male
E006,Anjali Singh,D01,95000.0,2016-08-14,Chennai,Active,Female
E007,Kiran Patel,D02,61000.0,2022-02-28,Bengaluru,Resigned,Male
E008,Rohit Desai,D03,78000.0,2019-09-05,Mumbai,Active,Male
E009,Pooja Iyer,D04,88000.0,2018-12-20,Delhi,Active,Female
E010,Suresh Menon,D05,55000.0,2020-06-15,Hyderabad,Active,Male
E011,Aisha Khan,D06,,2021-11-08,Pune,Active,Female
E012,Nikhil Tiwari,D07,105000.0,2017-04-25,Chennai,Active,Male
E013,Priya Pillai,D08,72000.0,2019-01-17,Bengaluru,Active,Female
E014,Arjun Reddy,D01,91000.0,2020-08-03,Mumbai,Resigned,Male
E015,Sunita Das,D02,67000.0,2018-03-22,Delhi,Active,Female
E016,Manish Chauhan,D03,83000.0,2022-06-10,Hyderabad,Active,Male
E017,Kavya Krishnan,D04,,2016-12-01,Pune,Active,Female
E018,Tarun Bansal,D05,74000.0,2021-07-14,Chennai,Active,Male
E019,Divya Bhatt,D06,88000.0,2019-03-28,Bengaluru,Inactive,Female
E020,Rahul Yadav,D07,62000.0,2020-10-05,Mumbai,Active,Male
E021,Sneha Jain,D08,98000.0,2018-01-19,Delhi,Active,Female
E022,Akash Kapoor,D01,75000.0,2017-09-11,Hyderabad,Active,Male
E023,Lalita Sharma,D02,,2022-04-07,Pune,Active,Female
E024,Vijay Nair,D03,92000.0,2020-02-25,Chennai,Active,Male
E025,Preeti Verma,D04,71000.0,2019-06-30,Bengaluru,Resigned,Female
E026,Sandeep Gupta,D05,87000.0,2021-08-16,Mumbai,Active,Male
E027,Fatima Sheikh,D06,64000.0,2018-05-04,Delhi,Active,Female
E028,Rajiv Kumar,D07,79000.0,2016-11-20,Hyderabad,Active,Male
E029,Asha Menon,D08,93000.0,2020-04-12,Pune,Active,Female
E030,Govind Tiwari,D01,58000.0,2017-02-08,Chennai,Active,Male
E031,Rekha Pillai,D02,,2022-09-01,Bengaluru,Inactive,Female
E032,Ashwin Reddy,D03,108000.0,2019-12-15,Mumbai,Active,Male
E033,Bhavna Das,D04,74000.0,2018-07-23,Delhi,Active,Female
E034,Pranav Chauhan,D05,94000.0,2021-01-29,Hyderabad,Active,Male
E035,Nisha Krishnan,D06,69000.0,2020-05-17,Pune,Active,Female
E036,Suraj Bansal,D07,85000.0,2017-06-05,Chennai,Active,Male
E037,Pallavi Bhatt,D08,,2019-08-21,Bengaluru,Active,Female
E038,Manoj Yadav,D01,76000.0,2016-10-14,Mumbai,Resigned,Male
E039,Shilpa Jain,D02,91000.0,2022-03-18,Delhi,Active,Female
E040,Vikram Kapoor,D03,64000.0,2020-07-09,Hyderabad,Active,Male
E041,Renu Sharma,D04,101000.0,2018-09-26,Pune,Active,Female
E042,Karthik Nair,D05,77000.0,2021-04-03,Chennai,Active,Male
E043,Ananya Verma,D06,,2017-12-12,Bengaluru,Active,Female
E044,Deepak Gupta,D07,94000.0,2020-11-07,Mumbai,Inactive,Male
E045,Shalini Sheikh,D08,73000.0,2019-02-14,Delhi,Active,Female
E046,Sachin Kumar,D01,89000.0,2022-07-25,Hyderabad,Active,Male
E047,Uma Menon,D02,66000.0,2018-06-08,Pune,Active,Female
E048,Ganesh Tiwari,D03,81000.0,2016-09-17,Chennai,Active,Male
E049,Jyoti Pillai,D04,95000.0,2021-10-22,Bengaluru,Active,Female
E050,Venkat Reddy,D05,60000.0,2020-03-01,Mumbai,Active,Male
E051,Harish Das,D06,,2019-05-16,Delhi,Active,Female
E052,Meenal Chauhan,D07,110000.0,2017-08-04,Hyderabad,Active,Male
E053,Poonam Krishnan,D08,76000.0,2022-01-13,Pune,Resigned,Female
E054,Sanjay Bansal,D01,96000.0,2020-09-19,Chennai,Active,Male
E055,Archana Bhatt,D02,71000.0,2018-04-07,Bengaluru,Active,Female
E056,Naveen Yadav,D03,87000.0,2021-06-28,Mumbai,Active,Male
E057,Tanvi Jain,D04,,2019-10-11,Delhi,Active,Female
E058,Rajan Kapoor,D05,78000.0,2016-07-30,Hyderabad,Active,Male
E059,Swati Sharma,D06,93000.0,2020-12-24,Pune,Active,Female
E060,Ajay Nair,D07,66000.0,2017-03-15,Chennai,Inactive,Male
E061,Sudha Verma,D08,103000.0,2022-08-06,Bengaluru,Active,Female
E062,Nilesh Gupta,D01,79000.0,2018-02-20,Mumbai,Active,Male
E063,Heena Sheikh,D02,,2021-09-14,Delhi,Active,Female
E064,Amitabh Kumar,D03,96000.0,2019-04-02,Hyderabad,Active,Male
E065,Lakshmi Menon,D04,75000.0,2020-08-28,Pune,Active,Female
E066,GIRISH TIWARI,D05,91000.0,2017-01-09,Chennai,Active,Male
E067,Vandana Pillai,D06,68000.0,2022-05-23,Bengaluru,Active,Female
E068,Sriram Reddy,D07,83000.0,2018-11-17,Mumbai,Resigned,Male
E069,Madhuri Das,D08,97000.0,2016-06-03,Delhi,Active,Female
E070,Sunil Chauhan,D01,62000.0,2021-03-11,Hyderabad,Active,Male
E071,LEELA KRISHNAN,D02,,2019-07-05,Pune,Active,Female
E072,Varun Bansal,D03,112000.0,2020-01-30,Chennai,Active,Male
E073,Nandita Bhatt,D04,78000.0,2017-10-19,Bengaluru,Active,Female
E074,Rakesh Yadav,D05,98000.0,2022-02-04,Mumbai,Active,Male
E075,Sushma Jain,D06,73000.0,2018-08-13,Delhi,Inactive,Female
E076,Prakash Kapoor,D07,89000.0,2021-12-07,Hyderabad,Active,Male
E077,Chitra Sharma,D08,,2019-09-25,Pune,Active,Female
E078,Devika Nair,D01,80000.0,2016-04-21,Chennai,Active,Male
E079,Alok Verma,D02,95000.0,2020-06-06,Bengaluru,Active,Female
E080,Smita Gupta,D03,68000.0,2017-07-18,Mumbai,Active,Male
E081,Ramesh Sheikh,D04,105000.0,2022-10-02,Delhi,Active,Female
E082,  Kalyani Kumar  ,D05,81000.0,2018-10-31,Hyderabad,Active,Male
E083,Pavan Menon,D06,,2021-02-17,Pune,Resigned,Female
E084,Usha Tiwari,D07,98000.0,2019-11-08,Chennai,Active,Male
E085,Shirish Pillai,D08,77000.0,2020-07-22,Bengaluru,Active,Female
E086,Neeraj Reddy,D01,93000.0,2017-05-13,Mumbai,Active,Male
E087,Vimal Das,D02,70000.0,2022-11-09,Delhi,Active,Female
E088,Kavitha Chauhan,D03,85000.0,2018-01-26,Hyderabad,Active,Male
E089,Indira Krishnan,D04,99000.0,2016-03-08,Pune,Active,Female
E090,Sagar Bansal,D05,64000.0,2021-08-30,Chennai,Active,Male
E091,Nalini Bhatt,D06,,2019-02-19,Bengaluru,Active,Female
E092,Pramod Yadav,D07,114000.0,2017-11-25,Mumbai,Active,Male
E093,Geeta Jain,D08,80000.0,2022-04-14,Delhi,Active,Female
E094,Dinesh Kapoor,D01,100000.0,2020-10-17,Hyderabad,Inactive,Male
E095,Roshni Sharma,D02,75000.0,2018-06-21,Pune,Active,Female
E096,SATISH NAIR,D03,91000.0,2016-02-05,Chennai,Active,Male
E097,Prachi Verma,D04,,2021-05-12,Bengaluru,Active,Female
E098,Mohit Gupta,D05,82000.0,2019-08-08,Mumbai,Active,Male
E099,Ritu Sheikh,D06,97000.0,2017-09-29,Delhi,Active,Female
E100,Harsha Kumar,D07,70000.0,2020-11-23,Hyderabad,Resigned,Male
E003,RAVI VERMA,D03,90000.0,2017-11-01,Delhi,Active,Male
E017,Kavya Krishnan,D04,,2016-12-01,Pune,Active,Female
E101,Bindu Rao,D01,72000.0,2023-01-10,Bengaluru,Active,Female
E102,Yash Malhotra,D02,88000.0,2023-03-22,Mumbai,Active,Male
E103,Simran Batra,,,2023-05-14,Delhi,Active,Female
E104,Anurag Sinha,D04,95000.0,2022-12-01,Hyderabad,Active,Male
E105,Pallavi Wagh,D05,68000.0,2023-02-18,Pune,Resigned,Female
E106,Roshan Naik,D06,82000.0,2023-04-05,Chennai,Active,Male
E107,Tanmay More,D07,76000.0,2022-11-15,Bengaluru,Active,Male
E108,Devyani Patil,D08,91000.0,2023-06-20,Mumbai,Active,Female
E109,Santosh Jadhav,D01,85000.0,2023-07-01,Delhi,Active,Male
E110,Amol Kulkarni,D02,64000.0,2022-10-28,Hyderabad,Active,Female
E111,  priya deshpande  ,D03,,2023-08-12,Pune,Inactive,Female
E112,Raj Shinde,,78000.0,2023-09-03,Chennai,Active,Male
E113,Arun Sawant,D05,93000.0,2022-08-19,Bengaluru,Active,Female
E114,Meghna Joshi,D06,71000.0,2023-01-25,Mumbai,Active,Male
E115,Sandip Pawar,D07,87000.0,2023-03-08,Delhi,Active,Female
E116,KOMAL BHOSALE,D08,,2022-07-14,Hyderabad,Active,Male
E117,Tushar Gaikwad,D01,95000.0,2023-05-30,Pune,Active,Female
E118,Neha Kale,D02,72000.0,2023-07-17,Chennai,Active,Male
